id,adult,budget,genres,original_title,overview,popularity,poster_path,release_date,revenue,runtime,tagline,title,vote_average,actor_1,actor_2,actor_3,actor_4,actor_5,director,file_path_1,file_path_2,file_path_3
330457,,,10402,Frozen II,"어느 날 부턴가 의문의 목소리가 엘사를 부르고, 평화로운 아렌델 왕국을 위협한다. 트롤은 모든 것은 과거에서 시작되었음을 알려주며 엘사의 힘의 비밀과 진실을 찾아 떠나야한다고 조언한다. 위험에 빠진 아렌델 왕국을 구해야만 하는 엘사와 안나는 숨겨진 과거의 진실을 찾아 크리스토프, 올라프 그리고 스벤과 함께 위험천만한 놀라운 모험을 떠나게 된다. 자신의 힘을 두려워했던 엘사는 이제 이 모험을 헤쳐나가기에 자신의 힘이 충분하다고 믿어야만 하는데…",459.869,/8S2AFd8DF539pxdn7TCIDqXlwRA.jpg,/8S2AFd8DF539pxdn7TCIDqXlwRA.jpg,,103,내 마법의 힘은 어디서 왔을까? 나를 부르는 저 목소리는 누구지?,겨울왕국 2,6.9,40462,19394,221611,54415,1225953,Jennifer Lee,/xJWPZIYOEFIjZpBL7SVBGnzRYXp.jpg,/cnA434G2b8m95dp76AKMhM1ufku.jpg,/2niqBT3WmbsR8fy07URik6fFJIf.jpg
19404,,13200000,10749,दिलवाले दुल्हनिया ले जायेंगे,영국에서 유학중인 라즈(샤룩 칸)와 인도 처녀 심란(까졸).  심란은 부모님이 정해주신 약혼자가 있는데 약혼을 앞두고 친구들과 유럽 여행을 떠나게 된다.  여행 중 우연히 만남 샤룩과 까졸. 두 남녀의 연속된 우연과 좌충우돌 사랑 만들기.  그렇게 사랑하게 된 그들이지만 까졸은 약혼자가 있는 몸. 인도로 돌아가게 된다.  샤룩 또한 그녀를 못 잊어 인도로 뒤 따라 들어가지만 엄격한 까졸의 부모를 설득하기가 힘이 든다. 도망가자는 까졸의 제안을 거부하고 샤룩은 끝내 그녀의 부모님의 허락을 얻어 내기 위해 고군분투한다.,18.199,/2CAL2433ZeIihfX1Hb2139CX0pW.jpg,/2CAL2433ZeIihfX1Hb2139CX0pW.jpg,100000000,190,,용감한 자가 신부를 데려가리,8.9,35742,55061,691,6217,35759,Aditya Chopra,/pVGzV02qmHVoKx9ehBNy7m2u5fs.jpg,/mMaxGuQKuH4WUHBwUNhJOetDYE9.jpg,/C3aiqcUgXp7lkNVKZ96FD4OMso.jpg
429617,,160000000,878,Spider-Man: Far from Home,"어벤져스 멤버들과 타노스와의 대접전을 마친 뒤, 지난 5년 동안 사라졌던 사람들이 동시에 돌아왔다. 아이언맨이 떠난 채 한동안 지구를 구할 히어로가 공석인 상황을 수습할 히어로는 현재 스파이더맨 피터 파커(톰 홀랜드)뿐이다. 친구들과의 유럽 현장학습 도중 닉 퓨리(새뮤얼 L. 잭슨)의 부름을 받게 된 피터는 미스테리오(제이크 질렌홀)라는 정체 모를 히어로와 힘을 합쳐 엘리멘탈이라는 괴생명체를 무찔러야 하는 상황에 처한다. 그런데 피터는 지구를 구하는 일보다 MJ(젠다야 콜먼)에게 멋지게 고백할 계획이 우선인데...",641.918,/742vR63T1AcXzYwHypQpzZd89vh.jpg,/742vR63T1AcXzYwHypQpzZd89vh.jpg,1131450163,129,모든 것이 다시 시작된다,스파이더맨: 파 프롬 홈,7.6,1136406,131,505710,15277,2231,Jon Watts,/5myQbDzw3l8K9yofUXRJ4UTVgam.jpg,/6ihyJWRLEngSnlW8HKeDOH3AfSQ.jpg,/zXqDDiA52yIaR0Xp5LPUILnsex5.jpg
278,,25000000,80,The Shawshank Redemption,"촉망받는 은행 간부 앤디 듀프레인(팀 로빈슨)은 아내와 그녀의 정부를 살해했다는 누명을 쓴다. 주변의 증언과 살해 현장의 그럴듯한 증거들로 그는 종신형을 선고받고 악질범들만 수용한다는 지옥같은 교도소 쇼생크로 향한다. 인간 말종 쓰레기들만 모인 그곳에서 그는 이루 말할 수 없는 억압과 짐승보다 못한 취급을 당한다. 그러던 어느 날, 간수의 세금을 면제받게 해 준 덕분에 그는 일약 교도소의 비공식 회계사로 일하게 된다. 그 와중에 교도소 소장은 죄수들을 이리저리 부리면서 검은 돈을 긁어 모으고 앤디는 이 돈을 세탁하여 불려주면서 그의 돈을 관리하는데...",43.149,/iZdih9zQAqxNadp0ScHyYRXsXLf.jpg,/iZdih9zQAqxNadp0ScHyYRXsXLf.jpg,28341469,142,두려움은 너를 죄수로 가두고 희망은 너를 자유롭게 하리라,쇼생크 탈출,8.7,504,192,4029,6574,6576,Frank Darabont,/j9XKiZrVeViAixVRzCta7h1VU9W.jpg,/65nAfGikljrOkfIrcfmrNTJTAXF.jpg,/xBKGJQsAIeweesB79KC89FpBrVr.jpg
475557,,55000000,18,Joker,"홀어머니와 사는 아서 플렉(호아킨 피닉스)은 코미디언을 꿈꾸지만 그의 삶은 좌절과 절망으로 가득 차 있다. 광대 아르바이트는 그에게 모욕을 가져다주기 일쑤고, 긴장하면 웃음을 통제할 수 없는 신경병 증세는 그를 더욱 고립시킨다. 정부 예산 긴축으로 인해 정신과 약물을 지원하던 공공의료 서비스마저 없어져 버린 어느 날, 아서는 지하철에서 시비를 걸어온 증권사 직원들에게 얻어맞던 와중에 동료가 건네준 권총으로 그들을 쏴 버리고 만다. 군중들은 지배계급에 대한 저항의 아이콘이 된 그를 추종하기 시작하며 광대 마스크로 얼굴을 가리고 거리로 쏟아져 나오기 시작하는데...",269.734,/wrCwH6WOvXQvVuqcKNUrLDCDxdw.jpg,/wrCwH6WOvXQvVuqcKNUrLDCDxdw.jpg,1016599593,122,"내 인생이 비극인 줄 알았는데, 코미디였어",조커,8.4,73421,380,1545693,4432,16841,Todd Phillips,/n6bUvigpRFqSwmPp1m2YADdbRBc.jpg,/f5F4cRhQdUbyVbB5lTNCwUzD6BP.jpg,/qR1yyZe3X14opqBmeHRLXmfVcot.jpg
238,,6000000,80,The Godfather,"시실리에서 이민온 뒤, 정치권까지 영향력을 미치는 거물로 자리잡은 돈 꼴레오네는 갖가지 고민을 호소하는 사람들의 문제를 해결해주며 대부라 불리운다. 한편 솔로소라는 인물은 꼴레오네가와 라이벌인 탓타리아 패밀리와 손잡고 새로운 마약 사업을 제안한다. 돈 꼴레오네가 마약 사업에 참여하지 않기로 하자, 돈 꼴레오네를 저격해 그는 중상을 입고 사경을 헤매게 된다. 그 뒤, 돈 꼴레오네의 아들 소니는 조직력을 총 동원해 다른 패밀리들과 피를 부르는 전쟁을 시작하는데... 가족의 사업과 상관없이 대학에 진학한 뒤 인텔리로 지내왔던 막내 아들 마이클은 아버지가 총격을 당한 뒤, 아버지를 구하기 위해 위험천만한 협상 자리에 나선다.",55.182,/cOwVs8eYA4G9ZQs7hIRSoiZr46Q.jpg,/cOwVs8eYA4G9ZQs7hIRSoiZr46Q.jpg,245066411,175,영화사상 최고의 걸작,대부,8.6,3084,1158,3085,3086,3087,Francis Ford Coppola,/6xKCYgH16UuwEGAyroLU6p8HLIn.jpg,/zOVTQvlR6Cj7jTLwzW7sLMoRWci.jpg,/ejdD20cdHNFAYAN2DlqPToXKyzx.jpg
466272,,95000000,53,Once Upon a Time... in Hollywood,"1969년 할리우드, 잊혀져 가는 액션스타 ‘릭 달튼’과 그의 스턴트 배우 겸 매니저인 ‘클리프 부스’는 과거의 영광을 되찾기 위해 고군분투하지만 새로운 스타들에 밀려 큰 성과를 거두진 못한다. 그러던 어느 날 ‘릭’의 옆집에 할리우드에서 가장 핫한 ‘로만 폴란스키’ 감독과 배우 ‘샤론 테이트’ 부부가 이사 오자 ‘릭’은 새로운 기회가 생길 수도 있다고 기뻐하지만 인사조차 나누지 못한다. 형편상 더 이상 함께 일할 수 없게 된 ‘릭’과 ‘클리프’는 각자의 길을 가기로 하고 ‘릭’의 집에서 술을 거나하게 마시던 중 뜻하지 않은 낯선 방문객을 맞이하게 되는데…",239.787,/1F2rDT1oNdvMyXF7gxbGxaXCzrz.jpg,/1F2rDT1oNdvMyXF7gxbGxaXCzrz.jpg,366612689,161,1969년 세계를 떠들썩하게 했던 ‘배우 샤론 테이트 살인 사건’을 기발하게 뒤집은 타란티노 감독의 마스터피스!,원스 어폰 어 타임 인 할리우드,7.6,6193,287,234352,46593,1392137,Quentin Tarantino,/nGJpQCAn2NKeDoEflLI5DIvsqoQ.jpg,/A7CsIYjxOX9XfWjKQTsuasBi0YV.jpg,/yB2hTgz9CTVYjlMWPSl3LPx5nWj.jpg
424,,22000000,10752,Schindler's List,"2차 세계대전 당시 독일군이 점령한 폴란드. 시류에 맞춰 자신의 성공을 추구하는 기회주의자 쉰들러는 유태인이 경영하는 그릇 공장을 인수한다. 그는 공장을 인수하기 위해 나찌 당원이 되고 독일군에게 뇌물을 바치는 등 갖은 방법을 동원한다. 그러나 냉혹한 기회주의자였던 쉰들러는 유태인 회계사인 스턴과 친분을 맺으면서 냉혹한 유태인 학살에 대한 양심의 소리를 듣기 시작한다. 마침내 그는 강제 수용소로 끌려가 죽음을 맞게될 유태인들을 구해내기로 결심하고, 독일군 장교에게 빼내는 사람 숫자대로 뇌물을 주는 방법으로 유태인들을 구해내려는 계획을 세우는데...",28.725,/oyyUcGwLX7LTFS1pQbLrQpyzIyt.jpg,/oyyUcGwLX7LTFS1pQbLrQpyzIyt.jpg,321365567,195,한 생명을 구한 자는 세계를 구한 것이다,쉰들러 리스트,8.6,3896,2282,5469,6692,6693,Steven Spielberg,/cTNYRUTXkBgPH3wP3kmPUB5U6dA.jpg,/af98P1bc7lJsFjhHOVWXQgNNgSQ.jpg,/rIpSszng8P0DL0TimSzZbpfnvh1.jpg
420818,,260000000,18,The Lion King,"혈통을 이어받은 사자가 왕국을 다스리는 아프리카의 프라이드 랜드, 무파사(제임스 얼 존스)의 아들 심바(도널드 글로버)는 왕좌를 물려받기로 예정되어 있다. 하지만 탐욕스런 무파사의 동생 스카(치웨텔 에지오포)가 자신의 형제를 죽이고, 마치 그 원인이 심바에게 있는 것처럼 분위기를 조장해 그를 왕국에서 쫓아낸다. 아버지의 죽음에 대한 죄책감에 시달리던 심바는 의욕 충만한 친구들 품바와 티몬의 도움으로 희망을 되찾는다. 어느 날 우연히 옛 친구 날라를 만난 심바는 과거를 마주할 용기를 얻고, 진정한 자신의 모습을 찾아 위대하고도 험난한 도전을 떠나게 되는데...",234.537,/qlBePshN1ujPwm27JzT6bP6XVeR.jpg,/qlBePshN1ujPwm27JzT6bP6XVeR.jpg,1649676757,118,"새로운 세상, 너의 시대가 올 것이다",라이온 킹,7.1,119589,14386,15152,5294,1981,Jon Favreau,/nRXO2SnOA75OsWhNhXstHB8ZmI3.jpg,/2XWhIg0aWX83ntm5Oq8w15vfB9c.jpg,/1TUg5pO1VZ4B0Q1amk3OlXvlpXV.jpg
496243,,11363000,35,기생충,"전원 백수로 살 길 막막하지만 사이는 좋은 기택(송강호) 가족. 장남 기우(최우식)에게 명문대생 친구가 연결시켜 준 고액 과외 자리는 모처럼 싹튼 고정수입의 희망이다. 온 가족의 도움과 기대 속에 박 사장(이선균) 집으로 향하는 기우. 글로벌 IT기업의 CEO인 박 사장의 저택에 도착하자 젊고 아름다운 사모님 연교(조여정)와 가정부 충숙(장혜진)이 기우를 맞이한다. 큰 문제 없이 박 사장의 딸 다혜(정지소)의 과외를 시작한 기우. 그러나 이렇게 시작된 두 가족의 만남 뒤로, 걷잡을 수 없는 사건이 기다리고 있는데...",60.824,/tcmj4YQ6p79OD8ECpRAbV8Yjk0c.jpg,/tcmj4YQ6p79OD8ECpRAbV8Yjk0c.jpg,110958213,131,행복은 나눌수록 커지잖아요,기생충,8.5,20738,115290,556435,1255881,1442583,Bong Joon-ho,/TU9NIjwzjoKPwQHoHshkFcQUCG.jpg,/ny5aCtglk2kceGAuAdiyqbhBBAf.jpg,/hAtRKAi24kw4wyGB2IyvmFdVGHC.jpg
290859,,185000000,878,Terminator: Dark Fate,"심판의 날 그 후, 뒤바뀐 미래. 새로운 인류의 희망 ‘대니’를 지키기 위해 슈퍼 솔져 ‘그레이스’가 미래에서 찾아오고, ‘대니’를 제거하기 위한 터미네이터 ‘Rev-9’의 추격이 시작된다.  최첨단 기술력으로 무장한 최강의 적 터미네이터 ‘Rev-9’의 무차별적인 공격에 쫓기기 시작하던 ‘그레이스’와 ‘대니’ 앞에 터미네이터 헌터 ‘사라 코너’가 나타나 도움을 준다. 인류의 수호자이자 기계로 강화된 슈퍼 솔져 ‘그레이스’와 ‘사라 코너’는 ‘대니’를 지키기 위해 새로운 조력자를 찾아 나서고, 터미네이터 ‘Rev-9’은 그들의 뒤를 끈질기게 추격하는데...",200.244,/nIoDNiWWOtCFdJRi89aFI98cdj0.jpg,/nIoDNiWWOtCFdJRi89aFI98cdj0.jpg,233685077,128,"심판의 날 그 후, 모든 것이 다시 시작된다!",터미네이터: 다크 페이트,6.3,1596934,1110405,2713,111016,1100,Tim Miller,/riTANvQ8GKmQbgtC1ps3OfkU43A.jpg,/cThhpwI3bUckMW6BmqnTa9lW3qW.jpg,/9jTRX1H4wVfenbmvM09hrTVLau5.jpg
372058,,,18,君の名は。,"시골에 사는 소녀 미츠하(가미시라이시 모네)는 어느 날 잠에서 깬 후 자신의 몸이 남자로 바뀐 걸 알게 된다. 같은 시간, 도쿄에 사는 소년 타키(가미키 류노스케) 역시 이 기이한 상황을 겪고 있다. 낯선 가족, 낯선 친구들, 낯선 풍경들... 서로에게 이어진 끈을 알게 된 둘은 둘만의 규칙을 정하고 점차 상황을 받아들이기 시작한다. 서로에게 남긴 메모를 확인하며  점점 친구가 되어가는 타키와 미츠하. 언제부턴가 더 이상 몸이 바뀌지 않자  자신들이 특별하게 이어져있었음을 깨달은  타키는 미츠하를 만나러 가는데...",24.989,/f5raQarrGOL9hXfvNgnG6RsK6jt.jpg,/f5raQarrGOL9hXfvNgnG6RsK6jt.jpg,357986087,106,"아직 만난 적 없는 너를, 찾고 있어",너의 이름은.,8.5,225730,1369100,87637,91288,1668610,Makoto Shinkai,/7OMAfDJikBxItZBIug0NJig5DHD.jpg,/blEF6I5n7X0GXMfv8fFl1o0Tz3z.jpg,/2Eg2X6NWFBFCGkFQk2RfW4Jiq9U.jpg
645541,,,878,Ellipse,우주비행사 존과 반려견 맥이 우주비행 중 불시착한 행성을 탈출하기 위해 고군분투하는 과정을 그린 영화,175.094,/4I0CQfnMy6sRR7QhgqsXR16TmIs.jpg,/4I0CQfnMy6sRR7QhgqsXR16TmIs.jpg,,76,,존과 맥의 요상한 우주여행,3.6,2450298,2450299,2450300,2450301,,Joe Bland,/sxPycUAaLJJGq2lhhgzR96ePaO0.jpg,/wmk6FtRxckiLuumE4TEXGKWBLiC.jpg,/zAF7V4ijHOdtWnFWY32Zvi2VO8s.jpg
240,,13000000,80,The Godfather: Part II,"아버지의 장례식 도중에 맏아들 파올로가 총에 맞아 죽고, 비토(로버트 드니로)는 겨우 도망쳐 미국으로 건너온다. 대부로 성장한 후 비토는 다시 치치오를 찾아 복수를 한다. 새롭게 등장한 젊은 대부 마이클(알 파치노)은 본거지를 라스베가스로 옮기고 가족의 사업을 가능한 합법적인 것으로 바꾸려고 애쓴다. 그런 과중 중에 자신을 제거하려는 음모를 알게되고 그는 냉혹하고 신속하게 반대파들을 제거, 조직을 더욱 확대해 나간다. 이를 위해 마이클은 배신한 형마저 죽이고, 일 때문에 아내와 헤어지는 등 인간적으로는 계속 외로워져 가는데...",28.515,/cj9UsJEN5bNf6ZoF1BbKjKN81hc.jpg,/cj9UsJEN5bNf6ZoF1BbKjKN81hc.jpg,102600000,202,대부가 암시하고 예고한 모든 것,대부 2,8.5,1158,3087,3092,380,3096,Francis Ford Coppola,/gLbBRyS7MBrmVUNce91Hmx9vzqI.jpg,/9qTnj9MHAkNojW1Rlv3GAGfQJo7.jpg,/5P2pI2wjYu7YqDaVRqbsmbDKkXa.jpg
474350,,79000000,18,It Chapter Two,"27년마다 아이들이 사라지는 마을 데리, 또 다시 ‘그것’이 나타났다. 27년 전, 가장 무서워하는 것의 모습으로 나타나 아이들을 잡아먹는 그것 페니와이즈에 맞섰던 ‘루저 클럽’ 친구들은 어른이 되어도 더 커져만 가는 그것의 공포를 끝내기 위해 피할 수 없는 마지막 대결에 나선다.",182.175,/kkkS7NYPY4QZcZY6vfkAx0vjJRa.jpg,/kkkS7NYPY4QZcZY6vfkAx0vjJRa.jpg,447554518,169,‘그것’과 함께 ‘그들’도 돌아왔다!,그것: 두 번째 이야기,6.8,5530,83002,19278,5296,223901,Andy Muschietti,/8moTOzunF7p40oR5XhlDvJckOSW.jpg,/4W0FnjSGn4x0mKZlBRx8OjFxQUM.jpg,/2V5RR4Ps1i4x7ifjjDvlmrSYzvL.jpg
129,,19000000,14,千と千尋の神隠し,평범한 열 살 짜리 소녀 치히로 식구는 이사 가던 중 길을 잘못 들어 낡은 터널을 지나가게 된다. 터널 저편엔 폐허가 된 놀이공원이 있었고 그곳엔 이상한 기운이 흘렀다. 인기척 하나 없는 이 마을의 낯선 분위기에 불길한 기운을 느낀 치히로는 부모님에게 돌아가자고 조르지만 부모님은 호기심에 들떠 마을 곳곳을 돌아다니기 시작한다. 어느 음식점에 도착한 치히로의 부모님은 그 곳에 차려진 음식들을 보고 즐거워하며 허겁지겁 먹어대다가 돼지로 변해버린다. 겁에 질려 당황하는 치히로에게 낯선 소년 하쿠가 나타나 빨리 이곳을 나가라고 소리치는데...,34.649,/mD49waY0XR7HNrS13r63tfgYT08.jpg,/mD49waY0XR7HNrS13r63tfgYT08.jpg,274925095,124,금지된 세계의 문이 열렸다,센과 치히로의 행방불명,8.5,19587,19588,19589,119243,19594,Hayao Miyazaki,/mnpRKVSXBX6jb56nabvmGKA0Wig.jpg,/djgM2d3e42p9GFQObg6lwK2SVw2.jpg,/dUoGxrlUWDwjpzNggKt33uWlOvM.jpg
568012,,,12,ワンピーススタンピード,"해적의 해적에 의한 해적을 위한 세계 최고의 축제, 해적 박람회! 축제꾼이라 불리는 박람회의 주최자 '브에나 페스타'에게 초대장을 받은 밀짚모자 일당. 박람회에 들어서니 화려한 파빌리온이 즐비해있고, 최악의 세대를 비롯한 많은 해적들이 몰려들어 흥을 돋우고 있었다. 박람회의 빅 이벤트는 해적왕 로저가 남긴 보물 찾기! 보물을 손에 넣고 이름을 날리고 싶은 해적들의 보물 쟁탈전이 시작된다!",151.286,/suPfemWGPk8xOePePITOhg1C5EP.jpg,/suPfemWGPk8xOePePITOhg1C5EP.jpg,,101,,원피스 : 스탬피드,7.4,65510,84507,90133,68472,84505,Takashi Ōtsuka,/iGnCzXEx0cFlUbpyAMeHwHWhPhx.jpg,/hQ7r8RIWxkvNbjgbDkwAhkwqkPs.jpg,/kngpROKbtpESpZkV0DtpudKc5HQ.jpg
497,,60000000,80,The Green Mile,"미국 루이지애나의 콜드 마운틴 교도소. 폴은 사형수 감방의 간수장으로 일하고 있다. 그의 일은 사형수들을 감독하고, 그린 마일이라 불리는 초록색 복도를 거쳐 그들을 사형 집행장까지 안내하는 것. 폴은 그들이 죽음을 맞이하는 순간까지 평화롭게 지낼 수 있도록 최선을 다한다. 어느 날 존 커피라는 사형수가 이송되어 온다. 그는 쌍둥이 여자아이를 살해한 흉악범. 하지만 순진한 눈망울에 겁을 잔뜩 집어먹은 그의 모습에 폴은 당혹감을 느낀다. 게다가 그는 초자연적 능력으로 폴의 지병을 깨끗하게 치료해주기까지 한다. 존을 전기 의자로 데려가야 할 날이 다가오면서 폴은 그가 무죄라는 확신을 갖게 되는데...",23.055,/sOHqdY1RnSn6kcfAHKu28jvTebE.jpg,/sOHqdY1RnSn6kcfAHKu28jvTebE.jpg,286801374,189,흑인으로 나타난 예수의 모습,그린 마일,8.5,31,61981,52,5149,2505,Frank Darabont,/Rlt20sEbOQKPVjia7lUilFm49W.jpg,/l6hQWH9eDksNJNiXWYRkWqikOdu.jpg,/vOfEyKHfE8vNWzMYloDCXELiapP.jpg
